Nazwa urzadzenia,Cena (zł),Ocena,Liczba ocen,Czy dostepny,Typ urzadzenia,Sklep,Data
Samsung Galaxy Buds 3,749.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-09-23
Apple AirPods 3 gen (Lightning Charging Case),813.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-09-23
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-23
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-09-23
JBL Tune 770 BT NC,293.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-09-23
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-09-23
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-09-23
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-23
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-09-23
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,5.0,1,Tablet,Komputronik,2024-09-23
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-09-23
"Apple iPad 10.2"" A13 (9.gen) 64GB",1649.0,5.0,7.0,1,Tablet,Komputronik,2024-09-23
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,999.0,4.95,10.0,1,Tablet,Komputronik,2024-09-23
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-09-23
Xiaomi Redmi Pad Pro 8/256GB,1372.0,,0.0,1,Tablet,Komputronik,2024-09-23
"LG UltraFine 27UN880P-B - 27""",1649.0,5.0,1.0,1,Monitor,Komputronik,2024-09-23
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-09-23
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-09-23
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-09-23
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-09-23
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-09-23
Samsung Galaxy Buds 3,749.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-09-24
Apple AirPods 3 gen (Lightning Charging Case),814.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-09-24
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-24
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-09-24
JBL Tune 770 BT NC,293.0,5.0,4.0,0,Słuchawki (nauszne),Komputronik,2024-09-24
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-09-24
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-09-24
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-24
Sony WHCH720 ANC,389.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-09-24
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,5.0,0,Tablet,Komputronik,2024-09-24
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-09-24
"Apple iPad 10.2"" A13 (9.gen) 64GB",1649.0,5.0,7.0,1,Tablet,Komputronik,2024-09-24
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,999.0,4.95,10.0,1,Tablet,Komputronik,2024-09-24
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-09-24
Xiaomi Redmi Pad Pro 8/256GB,1372.0,,0.0,1,Tablet,Komputronik,2024-09-24
"LG UltraFine 27UN880P-B - 27""",1649.0,5.0,1.0,1,Monitor,Komputronik,2024-09-24
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-09-24
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-09-24
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-09-24
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-09-24
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-09-24
Samsung Galaxy Buds 3,749.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-09-25
Apple AirPods 3 gen (Lightning Charging Case),779.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-09-25
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-25
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-09-25
JBL Tune 770 BT NC,349.0,5.0,4.0,0,Słuchawki (nauszne),Komputronik,2024-09-25
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-09-25
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-09-25
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-25
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-09-25
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,5.0,0,Tablet,Komputronik,2024-09-25
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-09-25
"Apple iPad 10.2"" A13 (9.gen) 64GB",1599.0,5.0,7.0,1,Tablet,Komputronik,2024-09-25
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,999.0,4.95,10.0,1,Tablet,Komputronik,2024-09-25
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-09-25
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-09-25
"LG UltraFine 27UN880P-B - 27""",1639.0,5.0,1.0,1,Monitor,Komputronik,2024-09-25
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-09-25
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-09-25
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-09-25
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-09-25
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-09-25
Samsung Galaxy Buds 3,749.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-09-26
Apple AirPods 3 gen (Lightning Charging Case),779.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-09-26
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-26
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-09-26
JBL Tune 770 BT NC,349.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-09-26
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-09-26
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-09-26
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-26
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-09-26
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,5.0,1,Tablet,Komputronik,2024-09-26
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-09-26
"Apple iPad 10.2"" A13 (9.gen) 64GB",1649.0,5.0,7.0,1,Tablet,Komputronik,2024-09-26
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,999.0,4.95,10.0,1,Tablet,Komputronik,2024-09-26
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1599.0,,0.0,1,Tablet,Komputronik,2024-09-26
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-09-26
"LG UltraFine 27UN880P-B - 27""",1639.0,5.0,1.0,1,Monitor,Komputronik,2024-09-26
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-09-26
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-09-26
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-09-26
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-09-26
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-09-26
Samsung Galaxy Buds 3,749.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-09-27
Apple AirPods 3 gen (Lightning Charging Case),779.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-09-27
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-27
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-09-27
JBL Tune 770 BT NC,349.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-09-27
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-09-27
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-09-27
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-27
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-09-27
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,5.0,1,Tablet,Komputronik,2024-09-27
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-09-27
"Apple iPad 10.2"" A13 (9.gen) 64GB",1649.0,5.0,7.0,1,Tablet,Komputronik,2024-09-27
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,999.0,4.95,10.0,1,Tablet,Komputronik,2024-09-27
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1599.0,,0.0,1,Tablet,Komputronik,2024-09-27
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-09-27
"LG UltraFine 27UN880P-B - 27""",1639.0,5.0,1.0,1,Monitor,Komputronik,2024-09-27
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-09-27
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-09-27
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-09-27
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-09-27
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-09-27
Samsung Galaxy Buds 3,749.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-09-28
Apple AirPods 3 gen (Lightning Charging Case),779.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-09-28
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-28
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-09-28
JBL Tune 770 BT NC,293.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-09-28
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-09-28
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-09-28
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-28
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-09-28
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,5.0,1,Tablet,Komputronik,2024-09-28
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-09-28
"Apple iPad 10.2"" A13 (9.gen) 64GB",1599.0,5.0,7.0,1,Tablet,Komputronik,2024-09-28
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,999.0,4.95,10.0,1,Tablet,Komputronik,2024-09-28
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-09-28
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-09-28
"LG UltraFine 27UN880P-B - 27""",1639.0,5.0,1.0,1,Monitor,Komputronik,2024-09-28
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-09-28
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-09-28
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-09-28
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-09-28
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-09-28
Samsung Galaxy Buds 3,749.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-09-29
Apple AirPods 3 gen (Lightning Charging Case),779.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-09-29
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-29
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-09-29
JBL Tune 770 BT NC,293.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-09-29
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-09-29
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-09-29
