Nazwa urzadzenia,Cena (zł),Ocena,Liczba ocen,Czy dostepny,Typ urzadzenia,Sklep,Data
Samsung Galaxy Buds3 Srebrne,749,,0,1,Słuchawki (douszne),Komputronik,2024-09-23
Apple AirPods 3 gen (Lightning Charging Case),813,5,1,1,Słuchawki (douszne),Komputronik,2024-09-23
Apple AirPods Pro 2 gen MagSafe USB-C,1099,4.86,7,1,Słuchawki (dokanałowe),Komputronik,2024-09-23
Apple AirPods 2 gen,509,5,15,1,Słuchawki (douszne),Komputronik,2024-09-23
JBL Tune 770 BT NC Czarny,293,5,4,1,Słuchawki (nauszne),Komputronik,2024-09-23
JBL Tune 520 BT Czarne,169,4.92,6,1,Słuchawki (nauszne),Komputronik,2024-09-23
Technics EAH-A800E-K czarne,1199,,0,1,Słuchawki (nauszne),Komputronik,2024-09-23
Soundcore Liberty 4 NC Czarne,319,5,2,1,Słuchawki (dokanałowe),Komputronik,2024-09-23
Sony WHCH720 Czarne,399,5,21,1,Słuchawki (nauszne),Komputronik,2024-09-23
Samsung Galaxy Tab A9 8.7 128GB szary (X110),799,5,5,1,Tablet,Komputronik,2024-09-23
Huawei MatePad 11.5'' S WiFi 8/256GB szary + klawiatura + rysik,1999,5,2,1,Tablet,Komputronik,2024-09-23
Apple iPad 10.2'' A13 Wi-Fi 64GB Gwiezdna Szarość (9.gen),1649,5,7,1,Tablet,Komputronik,2024-09-23
Lenovo TAB P11 2nd Gen (TB350FU) 6/128GB WiFi (ZABF0355PL) szary,999,4.95,10,1,Tablet,Komputronik,2024-09-23
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB WiFi (ZA8E0027PL) czarny,1499,,0,1,Tablet,Komputronik,2024-09-23
Xiaomi Redmi Pad Pro 8/256GB WiFi Graphite Gray,1372,,0,1,Tablet,Komputronik,2024-09-23
LG 27UN880P-B - 27'' | IPS | 4K | HDR,1649,5,1,1,Monitor,Komputronik,2024-09-23
iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8'' | Fast IPS | Full HD | 0.8ms | 165Hz,739,5,3,1,Monitor,Komputronik,2024-09-23
iiyama G-Master GB2770QSU-B5 Red Eagle - 27'' | Fast IPS | QHD | 0.5ms | 165Hz | HDR,1272,5,4,1,Monitor,Komputronik,2024-09-23
Samsung Odyssey G30A LS27AG300NRXEN - 27'' | VA | Full HD | 1ms | 144Hz,645,4.85,20,1,Monitor,Komputronik,2024-09-23
ASUS VY279HGE - 27'' | IPS | Full HD | 1ms | 144Hz,749,5,4,1,Monitor,Komputronik,2024-09-23
Xiaomi A27i - 27'' | IPS | Full HD | 100Hz,438,5,1,1,Monitor,Komputronik,2024-09-23
Samsung Galaxy Buds3 Srebrne,749,,0,1,Słuchawki (douszne),Komputronik,2024-09-24
Apple AirPods 3 gen (Lightning Charging Case),814,5,1,1,Słuchawki (douszne),Komputronik,2024-09-24
Apple AirPods Pro 2 gen MagSafe USB-C,1099,4.86,7,1,Słuchawki (dokanałowe),Komputronik,2024-09-24
Apple AirPods 2 gen,509,5,15,1,Słuchawki (douszne),Komputronik,2024-09-24
JBL Tune 770 BT NC Czarny,293,5,4,0,Słuchawki (nauszne),Komputronik,2024-09-24
JBL Tune 520 BT Czarne,169,4.92,6,1,Słuchawki (nauszne),Komputronik,2024-09-24
