Nazwa urzadzenia,Cena (zł),Ocena,Liczba ocen,Czy dostepny,Typ urzadzenia,Sklep,Data
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,799,4.2,14,1,Słuchawki (douszne),Media Expert,2024-09-23
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),729,4.7,35,1,Słuchawki (douszne),Media Expert,2024-09-23
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,150,1,Słuchawki (dokanałowe),Media Expert,2024-09-23
Słuchawki douszne APPLE AirPods II Biały,519,4.9,683,1,Słuchawki (douszne),Media Expert,2024-09-23
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,55,1,Słuchawki (nauszne),Media Expert,2024-09-23
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,134,1,Słuchawki (nauszne),Media Expert,2024-09-23
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-09-23
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-09-23
Słuchawki nauszne SONY WHCH720NB Czarny,399,4.8,48,1,Słuchawki (nauszne),Media Expert,2024-09-23
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",799,4.5,5,1,Tablet,Media Expert,2024-09-23
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-09-23
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-09-23
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.6,22,1,Tablet,Media Expert,2024-09-23
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-09-23
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1364,5,2,1,Tablet,Media Expert,2024-09-23
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1773,5,1,1,Monitor,Media Expert,2024-09-23
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-09-23
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",1199,4.7,4,1,Monitor,Media Expert,2024-09-23
